Date,Open,High,Low,Close,Adj Close,Volume
2019-02-11,16.170000,16.500000,15.340000,15.970000,15.970000,0
2019-02-12,15.230000,15.650000,14.950000,15.430000,15.430000,0
2019-02-13,15.460000,15.910000,15.000000,15.650000,15.650000,0
2019-02-14,15.610000,17.270000,15.300000,16.219999,16.219999,0
2019-02-15,16.820000,16.820000,14.790000,14.910000,14.910000,0
2019-02-19,15.650000,16.160000,14.640000,14.880000,14.880000,0
2019-02-20,14.920000,15.190000,13.990000,14.020000,14.020000,0
2019-02-21,14.000000,15.170000,13.850000,14.460000,14.460000,0
2019-02-22,14.460000,14.470000,13.510000,13.510000,13.510000,0
2019-02-25,13.910000,14.900000,13.440000,14.850000,14.850000,0
2019-02-26,15.160000,15.280000,14.520000,15.170000,15.170000,0
2019-02-27,15.530000,16.170000,14.700000,14.700000,14.700000,0
2019-02-28,15.170000,15.240000,14.390000,14.780000,14.780000,0
2019-03-01,14.570000,14.840000,13.410000,13.570000,13.570000,0
2019-03-04,13.770000,16.980000,13.380000,14.630000,14.630000,0
2019-03-05,14.520000,15.390000,14.260000,14.740000,14.740000,0
2019-03-06,14.910000,16.110001,14.740000,15.740000,15.740000,0
2019-03-07,16.330000,17.809999,15.540000,16.590000,16.590000,0
2019-03-08,17.379999,18.330000,16.020000,16.049999,16.049999,0
